city_id,name,province,note,CityRANK
RE0001,Durton,Pilton,商人のスタート地点,5
RE0002,Boroughambe,Pilton,倉庫,3
RE0003,Pilton,Pilton,港湾の主要都市,7
RE0004,Highmoor,Pilton,\,3
RE0005,Southwatch,Pilton,\,5
RE0006,Alderdale,Pilton,***,3
RE0007,Wolkess,Pilton,***,5
RE0008,Tolkken,East-havn,***,5
RE0009,Node09,East-havn,港都市,3
RE0010,Node10,East-havn,候補ノード（仮）,3
RE0011,Node11,East-havn,港,3
RE0012,Node12,East-havn,倉庫,3
RE0013,Node13,Stormcape,候補ノード（仮）,3
RE0014,Node14,Stormcape,候補ノード（仮）,3
RE0015,Node15,Stormcape,候補ノード（仮）,3
RE0016,Node16,Stormcape,倉庫,3
RE0017,Node17,Stormcape,港,3
RE0018,Node18,Stormcape,港,3
RE0019,Node19,Stormcape,***,3
RE0020,Node20,Stormcape,港,3
RE0021,Node21,East-havn,候補ノード（仮）,3
RE0022,Node22,East-havn,***,3
RE0023,Node23,East-havn,候補ノード（仮）,3
RE0024,Node24,East-havn,候補ノード（仮）,3
