city_id,product_id,stock_qty,target_stock,prod_per_day
RE0001,PR001,8.0,4.0,0.4463
RE0001,PR002,4.0,4.0,0.033
RE0001,PR003,9.0,10.0,0.9877
RE0001,PR004,10.0,5.0,0.12
RE0001,PR005,5.0,5.0,0.0
RE0001,PR006,3.0,4.0,0.0
RE0001,PR008,6.0,7.0,0.16
RE0001,PR009,1.0,1.0,0.0
RE0001,PR010,0.0,1.0,0.0
RE0001,PR013,3.0,4.0,0.3716
RE0001,PR019,0.0,1.0,0.0
RE0001,PR022,6.0,6.0,0.9877
RE0001,PR023,0.0,1.0,0.0
RE0001,PR025,3.0,4.0,0.0
RE0002,PR001,2.0,3.0,0.2351
RE0002,PR002,3.0,3.0,0.0601
RE0002,PR003,8.0,8.0,0.3432
RE0002,PR004,3.0,4.0,0.0
RE0002,PR005,4.0,4.0,0.0
RE0002,PR006,3.0,3.0,0.0
RE0002,PR008,6.0,6.0,0.2808
RE0002,PR009,0.0,1.0,0.0
RE0002,PR010,0.0,1.0,0.0
RE0002,PR013,3.0,3.0,0.0601
RE0002,PR019,0.0,1.0,0.0
RE0002,PR022,4.0,5.0,0.3432
RE0002,PR023,0.0,1.0,0.0
RE0002,PR025,3.0,3.0,0.0
RE0003,PR001,3.0,4.0,0.0586
RE0003,PR002,4.0,4.0,0.0429
RE0003,PR003,10.0,11.0,0.26
RE0003,PR004,3.0,6.0,0.0
RE0003,PR005,5.0,6.0,0.0
RE0003,PR006,4.0,4.0,0.6187
RE0003,PR008,8.0,8.0,0.208
RE0003,PR009,1.0,1.0,0.0
RE0003,PR010,1.0,1.0,0.0
RE0003,PR013,3.0,4.0,0.0429
RE0003,PR019,1.0,1.0,0.0
RE0003,PR022,6.0,7.0,0.26
RE0003,PR023,0.0,1.0,1.2565
RE0003,PR025,3.0,4.0,0.0
RE0004,PR001,2.0,3.0,0.0631
RE0004,PR002,9.0,3.0,0.7373
RE0004,PR003,8.0,8.0,1.656
RE0004,PR004,3.0,4.0,0.0
RE0004,PR005,3.0,4.0,0.0
RE0004,PR006,2.0,3.0,0.0
RE0004,PR008,5.0,6.0,2.0717
RE0004,PR009,5.0,2.0,0.06
RE0004,PR010,0.0,1.0,0.0
RE0004,PR013,2.0,3.0,0.568
RE0004,PR019,0.0,1.0,0.0
RE0004,PR022,5.0,5.0,1.656
RE0004,PR023,0.0,1.0,0.0
