city_id,industry_id,name_ja,enabled,level,out_pid,out_per_day,inputs
RE0001,IND_SAWMILL,製材所,1,1,PR102,3.0,PR002:2.0
RE0003,IND_COOPER,桶樽工房,1,1,PR306,1.0,PR102:1.0
RE0003,IND_PEWTER,錫器工房,1,1,PR304,0.5,PR103:0.5
RE0005,IND_SMOKEHOUSE,燻製工房,1,1,PR204,2.0,PR006:2.0;PR105:0.2
RE0005,IND_SMELTER_TIN,錫製錬所,1,1,PR103,1.0,PR003:2.0
RE0006,IND_TANNERY,皮なめし工房,1,1,PR104,1.5,PR005:1.5
RE0006,IND_DAIRY,チーズ工房,1,1,PR203,2.0,PR105:0.2
RE0007,IND_BREWERY,醸造所,1,1,PR202,3.0,PR004:1.0
RE0007,IND_WEAVER_W,毛織物工房,1,1,PR301,1.0,PR101:2.0
RE0008,IND_WEAVER_L,麻織物工房,1,1,PR302,1.0,PR107:2.0
