product_id,port_category,notes
PR001,materials,丸太
PR002,materials,羊毛
PR003,bulk,小麦
PR004,food,Bベリー
PR005,food,タラ
PR006,bulk,塩
PR007,food,エール
PR008,bulk,ひら豆
PR009,materials,鹿原皮
PR010,materials,牛原皮
PR011,food,チーズ
PR012,materials,石鹸
PR013,materials,麻
PR014,luxury,茶
PR015,luxury,ワイン
PR016,materials,板材
PR017,food,パン
PR018,materials,なめし革
PR019,bulk,錫鉱石
PR020,materials,錫塊
PR021,materials,錫器
PR022,bulk,大麦
PR023,food,生魚
PR024,food,燻製魚
PR025,food,蜂蜜
PR026,materials,染料
PR027,materials,毛織物
PR028,materials,麻織物
PR029,materials,革製品
PR030,materials,陶器
PR031,materials,樽
PR032,luxury,高級ワイン
PR033,luxury,香辛料
PR034,luxury,ガラス器
PR035,luxury,絹織物
PR036,materials,鉄塊
