product_id,name,base_price,carry_size,category,major,trade_scope,decay_rate,decay_grace_days
PR001,丸太,12,2,material,bulk,background,0.0,0
PR002,羊毛,14,1,textile,material,player,0.0,0
PR003,小麦,10,1,staple,bulk,background,0.0,0
PR004,Bベリー,12,1,food,food,player,0.0,0
PR005,タラ,16,1,food,food,player,0.0,0
PR006,塩,9,1,material,bulk,background,0.0,0
PR007,エール,18,1,drink,food,player,0.0,0
PR008,ひら豆,10,1,staple,bulk,background,0.0,0
PR009,鹿原皮,22,1,material,material,player,0.0,0
PR010,牛原皮,24,1,material,material,player,0.0,0
PR011,チーズ,20,1,food,food,player,0.0,0
PR012,石鹸,22,1,material,material,player,0.0,0
PR013,麻,12,1,textile,material,player,0.0,0
PR014,茶,26,1,luxury,luxury,player,0.0,0
PR015,ワイン,28,1,luxury,luxury,player,0.0,0
PR016,板材,18,2,material,material,player,0.0,0
PR017,パン,14,1,staple,food,player,0.0,0
PR018,なめし革,26,1,material,material,player,0.0,0
PR019,錫鉱石,12,5,material,bulk,background,0.0,0
PR020,錫塊,30,1,material,material,player,0.0,0
PR021,錫器,55,1,craft,craft,player,0.0,0
PR022,大麦,8,5,staple,bulk,background,0.0,0
PR023,生魚,6,2,food,food,background,0.2,1
PR024,燻製魚,20,1,food,food,player,0.02,14
PR025,蜂蜜,25,1,food,food,player,0.0,0
PR026,染料,36,1,material,material,player,0.0,0
PR027,毛織物,40,1,textile,craft,player,0.0,0
PR028,麻織物,35,1,textile,craft,player,0.0,0
PR029,革製品,45,1,craft,craft,player,0.0,0
PR030,陶器,30,2,craft,craft,player,0.0,0
PR031,樽,25,2,craft,craft,player,0.0,0
PR032,高級ワイン,60,1,luxury,luxury,player,0.0,0
PR033,香辛料,80,1,luxury,luxury,player,0.0,0
PR034,ガラス器,70,1,luxury,luxury,player,0.0,0
PR035,絹織物,90,1,luxury,luxury,player,0.0,0
PR036,鉄塊,35,2,material,material,player,0.0,0
