route_id,bandit,terrain,weather,water
RT01,0.14,0.21,0.48,0.17
RT02,0.11,0.21,0.48,0.17
RT03,0.07,0.18,0.45,0.15
RT04,0.07,0.18,0.55,0.21
RT05,0.07,0.18,0.45,0.15
RT06,0.07,0.18,0.55,0.21
RT07,0.07,0.18,0.45,0.15
RT08,0.19,0.23,0.53,0.18
RT09,0.14,0.22,0.65,0.24
RT10,0.18,0.25,0.68,0.26
RT11,0.18,0.25,0.58,0.20
RT12,0.14,0.22,0.65,0.24
RT13,0.28,0.33,0.76,0.28
RT14,0.22,0.38,0.70,0.22
RT15,0.22,0.38,0.70,0.22
RT16,0.26,0.41,0.83,0.30
RT17,0.26,0.41,0.83,0.30
RT18,0.30,0.44,0.86,0.32
RT19,0.26,0.41,0.83,0.30
RT20,0.32,0.36,0.79,0.30
RT21,0.18,0.25,0.58,0.20
RT22,0.18,0.25,0.58,0.20
RT23,0.18,0.25,0.58,0.20
RT24,0.18,0.25,0.58,0.20
RT25,0.28,0.33,0.66,0.22
RT26,0.26,0.41,0.73,0.24
RT27,0.26,0.41,0.73,0.24
RT30,0.26,0.41,0.83,0.30
RT31,0.18,0.25,0.58,0.20
RT32,0.28,0.33,0.66,0.22
