route_id,from,to,days,toll
RT01,RE0001,RE0002,2,0
RT02,RE0001,RE0004,2,1
RT03,RE0002,RE0004,1,1
RT04,RE0001,RE0003,1,1
RT05,RE0004,RE0005,1,1
RT06,RE0003,RE0007,1,1
RT07,RE0002,RE0006,1,1
RT08,RE0006,RE0008,2,1
RT09,RE0008,RE0009,1,0
RT10,RE0009,RE0010,2,0
RT11,RE0010,RE0012,2,0
RT12,RE0012,RE0011,1,0
RT13,RE0011,RE0014,2,0
RT14,RE0014,RE0015,1,0
RT15,RE0015,RE0016,1,0
RT16,RE0016,RE0017,2,0
RT17,RE0017,RE0018,2,0
RT18,RE0018,RE0019,3,0
RT19,RE0019,RE0020,2,0
RT20,RE0020,RE0021,3,0
RT21,RE0021,RE0022,2,0
RT22,RE0022,RE0023,2,0
RT23,RE0023,RE0024,2,0
RT24,RE0024,RE0012,2,0
RT25,RE0012,RE0013,2,0
RT26,RE0013,RE0014,2,0
RT27,RE0015,RE0013,2,0
RT30,RE0016,RE0020,2,0
RT31,RE0010,RE0024,2,0
RT32,RE0022,RE0012,2,0
