city_id,product_id,stock_qty,target_stock,prod_per_day
RE0002,PR016,1.0,2.0,0.0
RE0001,PR016,0.0,1.0,0.0
RE0003,PR016,0.0,1.0,0.0
RE0005,PR016,0.0,1.0,0.0
RE0007,PR016,0.0,1.0,0.0
RE0002,PR031,1.0,2.0,0.0
RE0001,PR031,0.0,1.0,0.0
RE0003,PR031,0.0,1.0,0.0
RE0005,PR031,0.0,1.0,0.0
RE0009,PR031,0.0,1.0,0.0
RE0012,PR017,1.0,2.0,0.0
RE0010,PR017,0.0,1.0,0.0
RE0011,PR017,0.0,1.0,0.0
RE0021,PR017,0.0,1.0,0.0
RE0022,PR017,0.0,1.0,0.0
RE0009,PR007,1.0,2.0,0.0
RE0008,PR007,0.0,1.0,0.0
RE0011,PR007,0.0,1.0,0.0
RE0004,PR011,1.0,2.0,0.0
RE0006,PR011,1.0,2.0,0.0
RE0003,PR011,0.0,1.0,0.0
RE0005,PR011,0.0,1.0,0.0
RE0005,PR024,1.0,2.0,0.0
RE0011,PR024,1.0,2.0,0.0
RE0021,PR024,1.0,2.0,0.0
RE0003,PR024,0.0,1.0,0.0
RE0008,PR024,0.0,1.0,0.0
RE0009,PR024,0.0,1.0,0.0
RE0010,PR024,0.0,1.0,0.0
RE0012,PR024,0.0,1.0,0.0
RE0017,PR024,0.0,1.0,0.0
RE0018,PR024,0.0,1.0,0.0
RE0020,PR024,0.0,1.0,0.0
RE0007,PR027,1.0,2.0,0.0
RE0003,PR027,0.0,1.0,0.0
RE0008,PR027,0.0,1.0,0.0
RE0011,PR027,0.0,1.0,0.0
RE0020,PR027,0.0,1.0,0.0
RE0008,PR028,1.0,2.0,0.0
RE0003,PR028,0.0,1.0,0.0
RE0007,PR028,0.0,1.0,0.0
RE0011,PR028,0.0,1.0,0.0
RE0020,PR028,0.0,1.0,0.0
RE0003,PR029,1.0,2.0,0.0
RE0008,PR029,0.0,1.0,0.0
RE0011,PR029,0.0,1.0,0.0
RE0007,PR026,1.0,2.0,0.0
RE0008,PR026,0.0,1.0,0.0
RE0011,PR026,0.0,1.0,0.0
RE0013,PR018,0.0,1.0,0.03
RE0014,PR018,0.0,1.0,0.02
RE0015,PR018,0.0,1.0,0.02
RE0015,PR020,0.0,1.0,0.03
RE0016,PR020,0.0,1.0,0.02
RE0017,PR020,0.0,1.0,0.01
RE0003,PR021,0.0,1.0,0.03
RE0011,PR021,0.0,1.0,0.01
RE0020,PR021,0.0,1.0,0.01
RE0004,PR012,1.0,2.0,0.05
RE0003,PR012,0.0,1.0,0.0
RE0008,PR012,0.0,1.0,0.0
RE0011,PR012,0.0,1.0,0.0
RE0017,PR012,0.0,1.0,0.0
RE0001,PR014,1.0,2.0,0.03
RE0003,PR014,0.0,1.0,0.0
RE0008,PR014,0.0,1.0,0.0
RE0011,PR014,0.0,1.0,0.0
RE0020,PR014,0.0,1.0,0.0
RE0007,PR015,1.0,2.0,0.03
RE0003,PR015,0.0,1.0,0.0
RE0008,PR015,0.0,1.0,0.0
RE0011,PR015,0.0,1.0,0.0
RE0020,PR015,0.0,1.0,0.0
RE0008,PR030,1.0,2.0,0.08
RE0003,PR030,0.0,1.0,0.0
RE0011,PR030,0.0,1.0,0.0
RE0017,PR030,0.0,1.0,0.0
RE0021,PR030,0.0,1.0,0.0
